id,system,difficulty,latency,faithfulness,answer_relevancy,context_precision,context_recall
Q001,talrag,easy,27.171826599999804,0.25,0.0,0.0,0.0
Q002,talrag,easy,49.58053800000016,0.7272727272727273,0.8833785760548731,0.0,0.0
Q003,talrag,easy,8.947774899999786,0.71875,0.0,0.0,0.0
Q004,talrag,easy,50.51238409999996,0.8846153846153846,0.0,0.0,0.0
Q005,talrag,easy,43.71560479999971,0.0,0.8352191631110084,0.0,0.0
Q006,talrag,easy,33.36632209999971,0.0,0.8696711172786353,0.0,0.0
Q007,talrag,easy,5.22054259999959,1.0,0.0,0.9999999999,0.0
Q008,talrag,easy,50.6875500000001,0.6,0.8617440607667544,0.0,0.0
Q009,talrag,easy,51.81079739999996,0.7058823529411765,0.0,0.0,0.0
Q010,talrag,easy,46.73303299999998,0.0,0.8922618794983863,0.0,0.0
Q011,talrag,easy,9.34104520000028,0.0,0.8914953424584631,0.0,0.0
Q012,talrag,easy,9.08165000000008,0.0,0.0,0.0,0.0
Q013,talrag,easy,14.02651620000006,0.0,0.867188932680687,0.0,0.0
Q014,talrag,easy,52.64284069999985,0.0,0.8467823884739745,0.0,0.0
Q015,talrag,easy,5.854019099999732,0.6666666666666666,0.0,0.0,0.0
Q016,talrag,easy,2.949733599999945,0.6666666666666666,0.924107940770711,0.49999999995,1.0
Q017,talrag,easy,32.600194699999975,0.0,0.0,0.0,0.0
Q018,talrag,easy,40.97224670000014,0.0,0.890824130066304,0.0,0.0
Q019,talrag,easy,34.014020900000105,0.0,0.8758737330859221,0.0,0.0
Q020,talrag,easy,42.23277120000012,0.0,0.875519759917481,0.0,0.0
Q021,talrag,easy,28.595668299999943,0.0,0.8224718989387313,0.0,0.0
Q022,talrag,easy,19.42993209999986,0.0,0.8003801799339955,0.0,0.0
Q023,talrag,easy,24.230646799999704,0.0,0.8665920877443397,0.0,0.0
Q024,talrag,easy,8.355066499999793,0.2,0.0,0.0,0.0
Q025,talrag,easy,46.24238080000032,0.0,0.8411924861091622,0.0,0.0
Q026,talrag,easy,39.374674799999866,0.6451612903225806,0.9011545418779048,0.0,0.0
Q027,talrag,easy,35.285550200000216,0.0,0.8664751066447368,0.0,0.0
Q028,talrag,easy,35.97231699999975,0.0,0.8587391243895142,0.0,0.0
Q029,talrag,easy,5.687664400000358,0.5,0.0,0.0,0.0
Q030,talrag,easy,4.06945769999993,1.0,0.0,0.0,0.0
Q031,talrag,easy,37.53460570000016,0.0,0.8662156813765318,0.0,0.0
Q032,talrag,easy,7.070847200000117,0.75,0.0,0.0,0.0
Q033,talrag,easy,9.919103300000188,1.0,0.8518642514393111,0.249999999975,0.0
Q034,talrag,easy,44.682360500000414,0.0,0.0,0.0,0.0
Q035,talrag,easy,5.446024099999704,1.0,0.0,0.8874999999778125,0.0
Q036,talrag,easy,2.847070000000258,1.0,0.879626710434897,0.999999999975,1.0
Q037,talrag,easy,55.20349679999981,0.0,0.8507510995804725,0.0,0.0
Q038,talrag,easy,44.98723329999984,0.0,0.893557090837186,0.0,0.0
Q039,talrag,easy,36.94483360000004,0.0,0.8914733602393367,0.0,0.0
Q040,talrag,easy,3.5168242000004284,1.0,0.8482354216346663,0.0,0.0
Q041,talrag,medium,36.11813849999999,0.1363636363636363,0.0,0.0,0.0
Q042,talrag,medium,8.803098500000033,0.0,0.0,0.0,0.0
Q043,talrag,medium,48.49750029999996,0.0,0.0,0.0,0.0
Q044,talrag,medium,7.5697325000001,0.4285714285714285,0.0,0.0,0.0
Q045,talrag,medium,8.495427899999868,0.75,0.0,0.0,0.0
Q046,talrag,medium,50.20581979999997,0.875,0.8886621140216415,0.0,0.0
Q047,talrag,medium,36.78357649999998,1.0,0.8618251860106113,0.0,0.0
Q048,talrag,medium,51.61823089999962,0.0,0.8631557199631023,0.0,0.0
Q049,talrag,medium,5.476058600000215,1.0,0.8635250597852473,0.7555555555303703,1.0
Q050,talrag,medium,49.463509599999725,0.0,0.8107392676235841,0.0,0.0
Q051,talrag,medium,46.89205489999995,0.8448275862068966,0.915967423060185,0.0,0.0
Q052,talrag,medium,31.47346379999999,0.1875,0.0,0.0,0.0
Q053,talrag,medium,4.444874400000117,0.8461538461538461,0.8646207230014582,0.9999999999666668,1.0
Q054,talrag,medium,34.43993210000008,0.9,0.8344838168949955,0.0,0.0
Q055,talrag,medium,33.35351069999979,0.0,0.8577834986177449,0.0,0.0
Q056,talrag,medium,6.371330599999965,0.5,0.0,0.9999999999,0.0
Q057,talrag,medium,9.628566200000025,0.0,0.0,0.0,0.0
Q058,talrag,medium,19.314077500000167,0.0,0.8405123738873632,0.0,0.0
Q059,talrag,medium,35.48484830000007,0.0,0.8179698229714076,0.0,0.0
Q060,talrag,medium,10.36316140000008,0.0512820512820512,0.8578944166920897,0.0,0.0
Q061,talrag,medium,30.646583600000213,0.0,0.0,0.0,0.0
Q062,talrag,medium,8.48284489999969,0.6666666666666666,0.0,0.0,0.0
Q063,talrag,medium,37.82349040000008,0.0,0.8784854056655987,0.0,0.0
Q064,talrag,medium,42.67506899999989,0.0,0.8816933862670178,0.0,0.0
Q065,talrag,medium,5.339294999999765,1.0,0.8510006004852004,0.94999999997625,1.0
Q066,talrag,medium,7.579770499999995,1.0,0.0,0.3333333333,0.0
Q067,talrag,medium,5.4931854000001294,1.0,0.8708067458268633,0.99999999998,1.0
Q068,talrag,medium,5.165012899999965,1.0,0.8821505211056742,0.99999999998,1.0
Q069,talrag,medium,5.320238100000097,0.7692307692307693,0.8854723065504378,0.699999999965,1.0
